well_id,contact_id,well_name,longitude,latitude,apn,county,subbasin_num,subbasin,status,de_minimis,pws,has_wcr,gw_recordation,max_prod_gpm,year_pumping,total_depth_ft,screen_top_ft,screen_bottom_ft,casing_in,purpose,purpose_all,irr_acreage,irr_method,pou_count,pou_apns,method,ext_total_af,ext_flag,ext_tule_wy2025,ext_tl_partial2025,ext_tl_partial2024,ext_monthly,owner_total_af,owner_num_wells
53815,38303,S.E Levis (41946),-119.214853,36.000568,300240023,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,837,2007,,,,,Irrigated Agriculture,Irrigated Agriculture,688.0,Drip/Micro,2,300240014; 300240023,Certified Meter,294.3,,294.3,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|51.3|61.4|37.0|75.9|56.0|12.7|0.0|0.0,8557.8,131
53816,38303,Levis - #1 (17698),-119.223915,36.007569,300240023,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,680,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,688.0,Drip/Micro,2,300240014; 300240023,Unmetered/Estimated,265.9,,265.9,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|21.5|45.8|46.9|32.0|57.3|49.8|11.3|1.2|0.0,8557.8,131
53817,38303,Oakies - #1 (45790),-119.232948,35.993185,300230019,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,763,2017,,,,,Irrigated Agriculture,Irrigated Agriculture,156.0,Drip/Micro,3,300230007; 300230019; 300230022,Certified Meter,44.7,,44.7,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.2|2.5|8.2|18.6|8.6|4.2|0.2|0.2|0.0,8557.8,131
53820,38303,Oakies - #2 (47329),-119.232882,35.989122,300230022,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1230,2015,,,,,Irrigated Agriculture,Irrigated Agriculture,156.0,Drip/Micro,3,300230007; 300230019; 300230022,Certified Meter,578.7,,578.7,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|108.2|103.2|171.8|82.2|89.5|23.6|0.0|0.0,8557.8,131
53822,36971,North (#2),-119.460137,35.861917,330140003,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1500,2019,,,,,Irrigated Agriculture,Irrigated Agriculture,,,2,330140003; 330140004,Certified Meter,11487.5,,11487.5,,,0.0|0.0|0.0|0.0|0.0|0.0|545.1|546.1|546.5|562.1|593.4|646.1|637.6|650.7|6738.5|21.4|0.0|0.0,60119.1,2
53823,38303,Parsons 2 / S. 88 - Middle Pump (41915),-119.223903,35.949678,318250001,Tulare,5-022.13,Tule,Inactive,FALSE,FALSE,FALSE,FALSE,142,2007,,,,,Irrigated Agriculture,Irrigated Agriculture,316.0,Drip/Micro,8,318220001; 318230001; 318230003; 318230004; 318230006; 318230007; 318230015; 318250001,Certified Meter,,,,,,,8557.8,131
53824,36971,West (#1),-119.464527,35.857182,330140003,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1600,2019,,,,,Irrigated Agriculture,Irrigated Agriculture,,,2,330140003; 330140004,Certified Meter,48631.6,,48631.6,,,0.0|0.0|0.0|0.0|0.0|0.0|5268.0|5269.0|5269.4|5285.0|5321.5|5392.7|5503.8|5597.7|5703.2|21.4|0.0|0.0,60119.1,2
53825,36970,North Well (#1),-119.491288,35.811501,330020001,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1800,2017,,,,,Irrigated Agriculture,Irrigated Agriculture,,,1,330020001,Certified Meter,13032.2,,13032.2,,,0.0|0.0|0.0|0.0|0.0|0.0|1224.6|1220.1|1219.4|1234.0|1365.1|1541.5|1653.3|1761.0|1801.2|12.0|0.0|0.0,71804.1,3
53826,36970,West Well (#2),-119.497909,35.804710,330020001,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1400,2018,,,,,Irrigated Agriculture,Irrigated Agriculture,,,1,330020001,Certified Meter,16758.4,,16758.4,,,0.0|0.0|0.0|0.0|0.0|0.0|1822.9|1818.4|1817.7|1832.2|1880.8|1927.4|1897.2|1886.8|1863.1|12.0|0.0|0.0,71804.1,3
53827,36970,East (#3),-119.488290,35.804700,330020001,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1550,2018,,,,,Irrigated Agriculture,Irrigated Agriculture,,,1,330020001,Certified Meter,42013.4,,42013.4,,,0.0|0.0|0.0|0.0|0.0|0.0|4454.9|4450.4|4449.7|4464.2|4596.7|4761.4|4862.2|4964.5|4997.4|12.0|0.0|0.0,71804.1,3
53828,38303,S. 88 (41916),-119.223893,35.946144,318250001,Tulare,5-022.13,Tule,Inactive,FALSE,FALSE,FALSE,FALSE,236,2007,,,,,Irrigated Agriculture,Irrigated Agriculture,316.0,Drip/Micro,8,318220001; 318230001; 318230003; 318230004; 318230006; 318230007; 318230015; 318250001,Certified Meter,,,,,,,8557.8,131
53829,38303,Connector #2 (41914),-119.232968,35.956910,318230015,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,759,2007,,,,,Irrigated Agriculture,Irrigated Agriculture,190.0,Drip/Micro,8,318220001; 318230001; 318230003; 318230004; 318230006; 318230007; 318230015; 318250001,Certified Meter,199.1,,199.1,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|29.1|45.8|36.5|23.4|28.4|21.1|12.5|1.3|0.9,8557.8,131
53831,38303,Connector - #1 (41917),-119.241476,35.953348,318230003,Tulare,5-022.13,Tule,Inactive,FALSE,FALSE,FALSE,FALSE,451,2013,,,,,Irrigated Agriculture,Irrigated Agriculture,10.0,Drip/Micro,2,318240002; 318240003,Certified Meter,,,,,,,8557.8,131
